people in frame, no. of clusters, no. of violators
4,1,2
3,0,0
3,0,0
3,0,0
5,1,2
4,1,2
3,0,0
5,1,2
8,2,7
5,1,3
6,1,4
6,1,5
6,1,5
6,1,5
6,1,5
7,2,7
7,2,7
5,2,5
6,2,6
6,2,6
8,2,8
5,2,5
6,2,6
6,2,6
5,2,5
4,2,4
5,2,5
6,2,6
5,2,5
5,2,5
7,2,7
8,2,8
6,2,6
9,2,9
9,2,8
8,2,8
8,2,8
10,2,9
10,2,9
10,2,9
7,2,6
8,2,7
8,2,7
8,1,7
7,1,6
9,1,8
9,1,8
8,1,7
7,1,6
6,2,5
5,2,4
7,2,6
7,1,6
7,1,6
7,1,6
6,1,5
6,1,5
6,1,5
8,1,7
10,1,9
8,1,7
10,1,9
9,1,8
9,1,8
9,1,8
8,1,7
9,1,8
8,1,7
7,1,6
7,1,6
8,1,6
7,1,6
7,1,6
11,3,11
10,2,9
11,2,10
10,2,9
8,1,6
10,2,9
9,2,8
7,1,5
8,2,7
10,1,9
11,1,10
9,1,8
9,2,9
9,1,8
8,2,8
8,1,7
8,1,7
9,2,9
9,2,9
8,2,8
8,2,8
8,1,7
10,2,10
8,3,8
9,2,9
7,1,6
7,2,6
10,2,10
10,2,10
7,3,7
7,3,7
11,3,11
9,3,9
10,3,10
7,2,6
8,2,7
10,3,10
10,3,10
7,3,7
10,2,9
10,2,9
13,2,12
9,3,8
10,3,9
9,2,7
12,3,12
11,2,10
8,2,7
10,3,10
11,2,10
11,2,10
11,3,11
9,2,8
9,2,8
8,2,7
10,2,8
11,2,9
10,2,9
10,2,8
10,2,9
10,2,9
10,2,9
10,3,9
10,3,9
15,1,14
10,3,8
9,3,7
8,3,6
10,2,9
12,3,12
13,3,13
10,2,7
11,3,10
9,2,6
10,2,8
9,3,8
10,2,8
10,2,8
13,3,12
10,2,8
12,3,12
12,3,12
10,3,10
9,2,8
8,2,7
10,2,9
9,3,9
7,2,6
7,2,6
7,2,6
9,3,8
9,3,9
12,3,11
11,3,10
13,3,12
14,2,13
11,3,10
9,3,8
9,2,7
10,1,9
8,2,7
9,2,8
9,1,8
7,2,6
7,2,6
9,2,8
9,2,8
9,1,7
8,3,6
8,2,6
9,2,8
8,2,4
8,3,6
9,2,7
10,2,8
8,2,4
9,2,5
9,2,5
9,2,5
8,3,6
10,2,8
9,3,7
10,3,7
8,2,5
7,2,4
8,2,5
8,2,5
8,2,5
7,2,4
9,3,7
9,3,7
8,2,5
8,3,6
5,1,2
7,2,4
7,3,6
5,1,2
7,3,6
9,3,7
10,3,8
11,2,8
12,3,10
12,3,11
7,1,2
9,2,6
9,2,6
10,2,7
7,1,3
8,2,5
7,1,3
9,2,5
7,1,3
8,1,3
8,2,5
8,2,5
8,2,5
9,2,5
9,2,5
9,1,5
8,1,5
8,1,5
9,2,7
9,1,6
11,2,9
11,2,9
11,3,10
9,1,5
11,2,8
11,1,8
8,1,5
8,1,4
7,1,4
8,1,4
8,2,6
8,3,6
9,3,7
9,3,7
9,3,7
10,3,7
9,2,6
9,3,7
9,3,7
11,2,9
9,2,7
9,2,7
8,2,5
9,3,7
8,3,6
7,2,4
8,2,5
10,3,10
10,3,9
9,3,8
8,3,8
9,3,8
8,3,7
6,2,4
7,3,6
9,3,8
10,3,10
9,3,9
9,3,8
8,3,7
10,3,10
9,3,9
11,3,11
8,3,7
10,3,9
11,3,11
10,3,9
8,2,6
7,2,5
6,2,5
9,3,9
7,2,6
8,2,7
7,2,6
8,2,7
7,2,6
5,2,4
5,2,4
8,2,7
6,2,6
6,2,6
6,2,6
6,2,6
6,2,6
8,2,8
8,2,8
5,2,5
8,2,8
8,2,8
7,2,7
7,2,7
8,2,8
8,3,8
7,3,7
7,3,7
6,3,6
7,3,7
10,3,10
7,3,7
6,2,5
5,2,5
6,2,5
8,3,8
8,2,8
7,2,7
7,3,7
7,2,7
8,3,8
7,2,7
7,2,7
7,2,7
9,2,9
7,2,7
8,2,7
8,2,7
8,2,7
9,3,9
8,2,7
8,2,8
9,2,8
5,2,4
6,2,6
6,2,6
8,2,7
9,2,8
8,2,8
7,2,7
6,2,6
8,2,8
8,2,8
9,2,9
8,2,8
7,2,7
6,2,6
7,2,6
7,2,7
6,2,5
7,2,7
5,2,4
8,2,6
8,2,7
7,2,7
7,2,7
8,2,8
7,2,7
10,2,10
7,2,7
7,2,6
6,1,4
7,1,5
7,1,5
7,2,5
7,1,6
6,1,4
6,1,3
5,1,3
5,1,3
6,1,4
6,2,4
5,1,2
4,0,0
4,0,0
4,0,0
6,1,2
5,0,0
7,2,4
5,0,0
5,0,0
6,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,2,4
5,2,4
6,2,4
4,1,2
4,1,2
3,0,0
3,0,0
4,0,0
4,0,0
4,0,0
3,0,0
4,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
2,0,0
4,0,0
4,1,2
4,0,0
4,0,0
4,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,1,2
4,1,2
4,1,2
3,0,0
3,0,0
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
3,0,0
3,0,0
4,1,2
4,1,2
5,2,5
3,1,2
3,1,2
3,1,2
4,2,4
5,2,5
5,2,4
3,1,2
3,1,2
3,1,2
4,1,2
3,0,0
5,1,3
4,1,2
4,1,2
5,1,4
5,1,4
5,1,3
5,1,3
5,1,3
5,1,3
4,1,3
6,1,5
5,1,3
4,1,2
4,1,2
4,2,4
3,1,2
3,1,2
3,1,2
5,2,4
5,2,5
5,2,5
4,1,2
5,1,2
5,1,2
5,2,5
5,2,5
5,2,5
4,1,3
4,1,3
5,2,5
4,1,3
4,1,3
4,1,3
6,2,6
5,2,5
3,1,2
3,1,2
3,1,2
4,1,3
5,1,4
6,1,4
7,1,3
7,1,3
6,1,3
7,2,4
6,2,4
9,2,6
8,2,6
7,1,3
7,2,6
8,2,7
8,2,7
7,2,5
6,1,3
7,2,5
7,2,4
9,3,7
10,3,8
7,1,2
6,2,4
6,2,4
6,2,4
7,2,5
6,2,4
7,2,5
5,1,2
5,1,2
6,2,4
7,3,6
7,2,5
7,2,5
7,3,6
8,3,7
9,4,9
8,4,8
7,1,3
9,3,7
7,2,4
7,2,4
8,3,6
7,2,4
5,1,2
8,2,5
6,1,2
6,1,2
6,1,2
5,1,2
5,1,2
6,1,2
5,1,2
6,1,2
6,1,2
7,2,4
7,2,4
8,3,6
9,3,7
7,2,4
7,2,4
7,2,4
8,3,6
8,2,5
7,2,4
6,1,2
8,3,6
7,2,4
8,2,5
7,2,4
7,2,4
8,2,4
9,2,5
9,3,6
9,2,4
8,2,4
9,2,4
9,4,8
7,2,4
8,2,4
7,2,4
8,3,6
7,2,4
7,2,5
7,1,3
6,1,3
7,2,5
7,1,3
7,1,3
6,1,3
7,1,4
5,0,0
7,2,5
6,1,3
7,1,2
7,1,2
6,1,2
6,1,2
7,1,3
6,1,2
6,1,2
6,0,0
7,1,2
7,0,0
7,0,0
7,0,0
9,1,2
7,0,0
8,0,0
9,1,2
9,2,5
9,2,4
10,4,8
7,1,2
8,2,4
8,2,4
8,3,6
7,2,4
7,2,5
7,2,5
7,2,5
7,3,6
7,3,6
8,3,7
6,2,4
7,2,5
7,3,6
8,3,7
8,2,6
4,1,2
5,1,2
6,2,4
7,2,5
7,3,6
7,3,6
8,3,7
7,2,4
7,2,4
7,2,4
8,2,5
7,2,4
7,2,4
7,2,4
7,2,4
7,2,4
6,1,2
6,1,2
7,2,4
7,2,4
7,2,4
6,1,2
7,1,4
7,1,5
8,1,6
6,1,3
8,1,6
8,1,5
7,1,3
9,2,6
9,2,6
6,1,2
7,2,4
8,2,5
8,1,4
9,2,6
9,2,6
8,2,5
8,1,5
8,2,5
10,1,7
9,1,6
6,1,2
7,1,4
6,1,2
9,2,7
8,2,7
8,2,7
8,2,7
8,2,7
8,2,7
9,2,8
8,2,7
10,1,7
8,1,5
7,1,2
8,1,5
7,1,3
6,1,2
7,2,5
7,2,5
8,1,6
9,1,6
8,1,5
8,1,5
9,1,6
11,1,8
9,1,6
9,1,6
8,1,5
9,1,6
9,1,6
